6,Prehajamo na 44. sejo Družbenopolitičnega zbora.
16,"Obravnavamo ZAKON O NEZDRUŽLJIVOSTI JAVNE FUNKCIJE S PRIDOBITNO DEJAVNOSTJO - ponovna obravnava (zaradi magnetograma) Prosim, gospod Potrč."
9,"To je amandma gospoda Kocipra, če se ne motim?"
11,Samo eno opozorilo. V našem zboru je bil ta amandma sprejet.
26,"Ali je bil sprejet? Ja, obvestilo je bilo - jaz na tej točki nisem bil - da ta amandma ni bil nikjer sprejet, zato smo ga skupno predlagali."
120,"Potem se opravičujem. In zadnji predlog: k 14.členu v zvezi z javnostjo podatkov je bilo danih več amandmajev. Ta 14. člen določa: ""Podatki o premoženju in dohodku funkcionarja se štejejo kot osebni podatki in se smejo uporabljati izključno za spremljanje premoženjskega stanja funkcionarjev po tem zakonu."" K temu sta bila dva amandmaja in usklajevalna skupina je ugotovila, da po svoji vsebini nista ustrezna; da pa po smislu predstavljata željo, zagotoviti, da bi bile plače in drugi dohodki funkcionarjev, ki se izplačujejo iz proračuna, bili javni. Zaradi tega predlaga vsem trem zborom, da sprejmejo amandma, da se k 14. členu da drugi odstavek, ki se glasi: ""Plače in drugi dohodki funkcionarjev, ki se izplačujejo iz proračuna, so javni."" Hvala lepa."
46,"Gospod predsednik, najprej vprašam, ali poslanci žele obvestilo o amandmajih, ki so bili sprejeti v vseh treh zborih, da bi vedeli, kaj je dopolnitev. Vprašam, če to želijo, kajti to sicer ni nujno? Ne - v redu!. Potem dajem samo tri predloge, ki zadevajo neposredno naš zbor."
67,"V 6. členu, v 3. vrstici, kjer se govori o upravljanju stanovanjske hiše, počitniške hiše, zemljišča, je besedica ""in tako dalje"". Usklajevalna komisija predlaga, da bi bilo to ""in podobno"" zaradi tega, ker je to pač primernejše; ""in tako dalje"" je lahko karkoli, ""in podobno"" pa smiselno kar pač že je zajeto v teh treh primerih. To je prvi predlog. In to je predlog vsem trem zborom."
45,"Drugi predlog je enako v 6. členu. V 1. odstavku 6. člena, kjer gre za besede, da se ne šteje kot pridobitna dejavnost umetniško, kulturno, publicistično delo, se predlaga, da se pred te besede vstavi tudi ""znanstveno-raziskovalno"" in potem naprej kulturno, umetniško in publicistično delo."
7,V našem zboru je ta amandma sprejet.
38,"Sprašujem zbor, da ne bo ugovorov (ker še ni poročila), ali smo dovolj natančno razumeli, za katere predloge gre, da ne bi čakali na pisno poročilo? Kajti sicer je bolje, da počakamo, če bi lahko prišlo do nesporazuma."
11,"Prav! Potem predlagam, da glasujemo, ker se vsi s tem strinjate."
24,"Najprej glasujemo o tem, da se vnese v 6. člen tako kot je bilo povedano, ""in podobno"" namesto ""itn."". Kdo je za ta predlog?"
6,"Kdor je za, naj prosim, glasuje!"
3,Je kdo proti?
4,Se je kdo vzdržal?
13,"Ugotavljam, da je ta amandma s 44 glasovi za in 1 proti sprejet."
32,"Glasujemo o tem, da se v 6. členu (tako kot je bilo povedano) pred ""umetniško, kulturno"" doda besedilo ""znanstveno-raziskovalno"", kot je v našem zboru predlagal gospod Buser. Kdo je za ta predlog?"
15,"Stališče vlade je bilo v tem primeru, da ne podpira. Je pa sedaj usklajen predlog."
6,"Kdor je za, naj prosim, glasuje!"
3,Je kdo proti?
4,Se je kdo vzdržal?
12,"Ugotavljam, da je z 39 glasovi za in 1 vzdržanim predlog sprejet."
28,"Glasujemo o predlogu, da se v 14. členu doda drugi odstavek: ""Plače in drugi dohodki funkcionarjev, ki se plačujejo iz proračuna, so javni."" Kdo je za ta predlog?"
6,"Kdor je za, naj prosim, glasuje!"
3,Je kdo proti?
4,Se je kdo vzdržal?
11,"Ugotavljam, da je ta amandma s 43 glasovi za soglasno sprejet."
15,"Glasujemo o zakonu o nezdružljivosti javne funkcije, vključno s temi amandmaji. Prosim, kdo je za?"
6,"Kdor je za, naj, prosim glasuje!"
3,Je kdo proti?
4,Se je kdo vzdržal?
13,"Ugotavljam, da je zakon o nezdružljivosti ...(itn.) s 46 glasovi ""za"" soglasno sprejet."
52,"Tretje. K 6. členu je skupni predlog vsem trem zborom, da se na koncu zaključni del stavka črta, in to je, da se črtajo besedila: ""če to ni v zvezi z opravljanjem funkcije"". Skratka, gre za kulturno, znanstveno-raziskovalno, umetniško in publicistično delo brez dostavka ""če to ni v zvezi z opravljanjem funkcije""."
